route_id,latitude,longitude,crime_density,lighting_density,surveillance_score,police_proximity,emergency_services,population_density,user_feedback,public_transport_nearby,weather_conditions,route_safety_score
1,28.599451187406967,76.95383833728418,0.7160668608981389,0.3605582060224316,0.04115899843447901,0.9275512412714658,0.882812733014216,0.6004298532211202,0.5688052217307129,0.5722473450140446,0.05596704586667556,0.7752729741228676
2,28.421327405753562,77.29601282709841,0.3525311187588237,0.16567346738662703,0.42009709685370134,0.35147596310072027,0.7930172016473513,0.2822078891070654,0.7074808011260576,0.8083547778311646,0.8485092937748074,0.7141292091945246
3,28.781088611898408,76.97800866642201,0.32466074024603053,0.4549091915791552,0.43400622821915746,0.8698708268743307,0.9619826412030918,0.8906615096629215,0.46254693366044264,0.651518494232205,0.007004002643502649,0.17246012192640447
4,28.430011552109672,77.29708653435988,0.5033967950982333,0.10027883011534888,0.9391236358132107,0.9861983636049062,0.6627876315073343,0.42061056351019754,0.7065759094010582,0.10478818856341565,0.7336828665002736,0.8091235285392869
5,28.412594184168384,77.06850059483736,0.4357492145819537,0.4367293158189438,0.11776872632463864,0.40468286008227883,0.1523407699482363,0.7648466900421962,0.24475348382431628,0.48969609104124245,0.8960760215875665,0.15237599160745496
6,28.459404223613184,76.95986598983666,0.9201790654508757,0.009854029536249809,0.4114571499255436,0.4712654418019153,0.46178508436462606,0.6431373432406545,0.9599821944409138,0.22524783552296812,0.5573619554198832,0.3440203320551287
7,28.499634027206653,76.92658847905629,0.5874300145055722,0.17358397894934696,0.17779386323718582,0.5486655073840707,0.6685668912057696,0.8535469474700766,0.7330720737382915,0.8532864872387457,0.37927261850434246,0.2952357971772418
8,28.538649058335576,77.0456468856522,0.38414124056669297,0.3948448610847145,0.73167401630999,0.7039794313566262,0.19888067711074464,0.2954886491863189,0.05934171682319911,0.3891660759281207,0.6207836519528486,0.788820025096635
9,28.60405261502259,77.05787945411335,0.869108929462492,0.5454949044218306,0.13962783136185986,0.9802385571208109,0.15495419040847647,0.8632822795290193,0.3452717242032587,0.028446821961217617,0.507121122306318,0.3506762117514033
10,28.713538188785382,76.90957836126186,0.11241375660916963,0.15694148380959871,0.32568864542690845,0.9509568774186385,0.515971451073061,0.46101367542467475,0.09459905425599424,0.4714410575572947,0.5039864739123184,0.663449614665408
11,28.637986614442713,77.31469909823275,0.9085686771308483,0.25131343382409,0.6930045782335262,0.33808993632792517,0.09705945028060525,0.7336079108150569,0.1253470509101824,0.28091432193172494,0.4663541358965668,0.8181037348583277
12,28.416541990710442,77.23430545138517,0.19391065638309135,0.11034949696999186,0.10382190264301716,0.819263939297246,0.46819500031480155,0.6040320814189913,0.35720576684723415,0.8806699425119643,0.1955826344717242,0.845816972629922
13,28.401318318282723,76.91263843016455,0.40784599103617014,0.9101658514148459,0.7642803942861948,0.5552365713091133,0.27018539832022537,0.24711035369780487,0.3261682969480011,0.17321553598559447,0.30532619794569804,0.6658875697616211
14,28.742034019327217,77.21833680336086,0.0764035514806708,0.6056665423962743,0.6464836518287884,0.3574773487984735,0.007278893005588372,0.5293709484630406,0.9031915995582401,0.872480830128969,0.5490421299012129,0.46219047709682815
15,28.859708960509902,77.2350327295698,0.12510080379783817,0.6098557434999956,0.05403629272895838,0.46040737469333404,0.7968265200649706,0.3210147219069094,0.671640607068666,0.4178783170031769,0.5170943882415411,0.5741340899295116
16,28.812526760867655,76.94720941365433,0.8978511068054638,0.3787284371304608,0.8766733795821953,0.8374603848910933,0.8859424207248621,0.2219888824607359,0.4632231678948039,0.8543219322307052,0.02813074407377003,0.7546232369870108
17,28.8825611435335,77.01538344884747,0.8571573461622515,0.47488441253126024,0.507238958807581,0.07615822216922519,0.6057919677019478,0.34826149180996024,0.9100227085857041,0.30858497661370543,0.7608655283055635,0.25459296885213345
